Year,Name,Award,Level,Team,Position,Sport
1999,Amy Kaufman,Midwest Confrence Doubles Champion,MIDWEST CONFERENCE,,,Tennis
1999,Christine Calton,Midwest Confrence Doubles Champion,MIDWEST CONFERENCE,,,Tennis
1999,Amy Kaufman,Midwest Confrence Singles Champion,MIDWEST CONFERENCE,,,Tennis
1998,Beth Dadko,Midwest Confrence Doubles Champion,MIDWEST CONFERENCE,,,Tennis
1998,Maiko Morotani,Midwest Confrence Doubles Champion,MIDWEST CONFERENCE,,,Tennis
1998,Maiko Morotani,Midwest Confrence Singles Champion,MIDWEST CONFERENCE,,,Tennis
1998,Beth Dadko,Midwest Confrence Singles Champion,MIDWEST CONFERENCE,,,Tennis
1997,Kim Knous,Midwest Confrence Singles Champion,MIDWEST CONFERENCE,,,Tennis
1989,Amy Fort,Midwest Confrence Singles Champion,MIDWEST CONFERENCE,,,Tennis
1982,Elizabeth Calhoun,Midwest Confrence Singles Champion,MIDWEST CONFERENCE,,,Tennis
1981,Elizabeth Calhoun,Midwest Confrence Doubles Champion,MIDWEST CONFERENCE,,,Tennis
1981,Nina Cerfolio,Midwest Confrence Doubles Champion,MIDWEST CONFERENCE,,,Tennis
1981,Elizabeth Calhoun,Midwest Confrence Singles Champion,MIDWEST CONFERENCE,,,Tennis
1980,Elizabeth Calhoun,Midwest Confrence Singles Champion,MIDWEST CONFERENCE,,,Tennis
1979,Claire Gill,Midwest Confrence Doubles Champion,MIDWEST CONFERENCE,,,Tennis
1979,Elizabeth Calhoun,Midwest Confrence Doubles Champion,MIDWEST CONFERENCE,,,Tennis
1979,Claire Gill,Midwest Confrence Singles Champion,MIDWEST CONFERENCE,,,Tennis
1979,Elizabeth Calhoun,Midwest Confrence Singles Champion,MIDWEST CONFERENCE,,,Tennis
2014,Sarah Burnell,All-America,NATIONAL,,,Track & Field (Indoor)
2020,Ange Lukoseviciute,All-Region,REGION,,,Track & Field (Indoor)
2020,Sarina Kopf,All-Region,REGION,,,Track & Field (Indoor)
2025,Hannah Roark,Outstanding Performer,MIDWEST CONFERENCE,,,Track & Field (Indoor)
2015,Eloise Miller,Outstanding Performer,MIDWEST CONFERENCE,,,Track & Field (Indoor)
2014,Sarah Burnell,Outstanding Performer,MIDWEST CONFERENCE,,,Track & Field (Indoor)
2007,Sarah Spencer,Outstanding Performer,MIDWEST CONFERENCE,,,Track & Field (Indoor)
2020,Sarina Kopf,USTFCCCA All-Academic,NATIONAL,,,Track & Field (Mixed)
2020,Agne Lukoseviciute,USTFCCCA All-Academic,NATIONAL,,,Track & Field (Mixed)
2015,Eloise Miller,USTFCCCA All-Academic,NATIONAL,,,Track & Field (Mixed)
2014,Christine Ajinjeru,USTFCCCA All-Academic,NATIONAL,,,Track & Field (Mixed)
2014,Sarah Burnell,USTFCCCA All-Academic,NATIONAL,,,Track & Field (Mixed)
2014,Eloise Miller,USTFCCCA All-Academic,NATIONAL,,,Track & Field (Mixed)
2012,Sarah Burnell,USTFCCCA All-Academic,NATIONAL,,,Track & Field (Mixed)
2007,Sarah Spencer,USTFCCCA All-Academic,NATIONAL,,,Track & Field (Mixed)
2024,Eva Carchidi,CSC Academic All-District® Team,REGION,,,Track & Field (Mixed)
2024,Keely Miyamoto,CSC Academic All-District® Team,REGION,,,Track & Field (Mixed)
2024,Morgan Karow,CSC Academic All-District® Team,REGION,,,Track & Field (Mixed)
2023,Sara Booher,CSC Academic All-District® Team,REGION,,,Track & Field (Mixed)
2023,Mira Diamond-Berman,CSC Academic All-District® Team,REGION,,,Track & Field (Mixed)
2023,Melanie Oden,CSC Academic All-District® Team,REGION,,,Track & Field (Mixed)
2023,Emma Schaefer,CSC Academic All-District® Team,REGION,,,Track & Field (Mixed)
2023,Emma Schaefer,CSC Academic All-District® Team,REGION,,,Track & Field (Mixed)
2019,Agne Lukoseviciute,All-America,NATIONAL,,,Track & Field (Outdoor)
2014,Sarah Burnell,All-America,NATIONAL,,,Track & Field (Outdoor)
2007,Sarah Spencer,All-America,NATIONAL,,,Track & Field (Outdoor)
2024,Eva Carchidi,USTFCCCA All-Academic,NATIONAL,,,Track & Field (Outdoor)
2019,Cara Bresnahan,All-Region,REGION,,,Track & Field (Outdoor)
2019,Agne Lukoseviciute,All-Region,REGION,,,Track & Field (Outdoor)
2019,Paige Olowu,All-Region,REGION,,,Track & Field (Outdoor)
2019,Agne Lukoseviciute,Outstanding Performer,MIDWEST CONFERENCE,,,Track & Field (Outdoor)
2014,Christine Ajinjeru,Outstanding Performer,MIDWEST CONFERENCE,,,Track & Field (Outdoor)
2014,Sarah Burnell,Outstanding Performer,MIDWEST CONFERENCE,,,Track & Field (Outdoor)
2014,Eloise Miller,Outstanding Performer,MIDWEST CONFERENCE,,,Track & Field (Outdoor)
2012,Sarah Burnell,Outstanding Performer,MIDWEST CONFERENCE,,,Track & Field (Outdoor)
2021,Sadie Staker,Newcomer of the Year,MIDWEST CONFERENCE,,,Track & Field (Outdoor)
2014,Evelyn Freeman,Coach of the Year,MIDWEST CONFERENCE,,,Track & Field (Outdoor)
2021,Kaylin Kuhn,AVCA ALL-AMERICA,NATIONAL,Honorable Mention,,Volleyball
2022,Payton Lowrey,COLLEGE SPORTS COMMUNICATORS ACADEMIC ALL-AMERICA®,NATIONAL,3rd Team,Libero,Volleyball
2021,Kaylin Kuhn,AVCA ALL-REGION,REGION,1st Team,Outside Hitter,Volleyball
2024,Emily Brewer,COSIDA/COLLEGE SPORTS COMMUNICATORS ACADEMIC ALL-DISTRICT®,REGION,1st Team,,Volleyball
2024,Jenna Keller,COSIDA/COLLEGE SPORTS COMMUNICATORS ACADEMIC ALL-DISTRICT®,REGION,1st Team,,Volleyball
2024,Hayley Taka,COSIDA/COLLEGE SPORTS COMMUNICATORS ACADEMIC ALL-DISTRICT®,REGION,1st Team,,Volleyball
2024,Sophie Weber,COSIDA/COLLEGE SPORTS COMMUNICATORS ACADEMIC ALL-DISTRICT®,REGION,1st Team,,Volleyball
2023,Emily Brewer,COSIDA/COLLEGE SPORTS COMMUNICATORS ACADEMIC ALL-DISTRICT®,REGION,1st Team,,Volleyball
2023,Jenna Keller,COSIDA/COLLEGE SPORTS COMMUNICATORS ACADEMIC ALL-DISTRICT®,REGION,1st Team,,Volleyball
2023,Malaina Miles,COSIDA/COLLEGE SPORTS COMMUNICATORS ACADEMIC ALL-DISTRICT®,REGION,1st Team,,Volleyball
2023,Hayley Taka,COSIDA/COLLEGE SPORTS COMMUNICATORS ACADEMIC ALL-DISTRICT®,REGION,1st Team,,Volleyball
2022,Payton Lowrey,COSIDA/COLLEGE SPORTS COMMUNICATORS ACADEMIC ALL-DISTRICT®,REGION,1st Team,,Volleyball
2022,Emily Brewer,COSIDA/COLLEGE SPORTS COMMUNICATORS ACADEMIC ALL-DISTRICT®,REGION,1st Team,,Volleyball
2022,Malaine Miles,COSIDA/COLLEGE SPORTS COMMUNICATORS ACADEMIC ALL-DISTRICT®,REGION,1st Team,,Volleyball
2022,Rachel Woock,COSIDA/COLLEGE SPORTS COMMUNICATORS ACADEMIC ALL-DISTRICT®,REGION,1st Team,,Volleyball
2022,Payton Lowrey,PLAYER OF THE YEAR,MIDWEST CONFERENCE,,Libero,Volleyball
2021,Kaylin Kuhn,PLAYER OF THE YEAR,MIDWEST CONFERENCE,,Outside Hitter,Volleyball
2009,Claire Reeder,PLAYER OF THE YEAR,MIDWEST CONFERENCE,,Middle Blocker,Volleyball
2022,Hayley Taka,NEWCOMER OF THE YEAR,MIDWEST CONFERENCE,,Outside Hitter,Volleyball
2017,Kaylin Kuhn,NEWCOMER OF THE YEAR,MIDWEST CONFERENCE,,Outside Hitter,Volleyball
2010,Claire Reeder,MIDWEST CONFERENCE WOMAN OF THE YEAR,MIDWEST CONFERENCE,,,Volleyball
2024,Emily Brewer,ALL-MIDWEST CONFERENCE,MIDWEST CONFERENCE,1st Team,Setter,Volleyball
2024,Sophie Weber,ALL-MIDWEST CONFERENCE,MIDWEST CONFERENCE,1stTeam,Libero,Volleyball
2024,Millie Leonard,ALL-MIDWEST CONFERENCE,MIDWEST CONFERENCE,1st Team,Middle Blocker,Volleyball
2024,Jenna Keller,ALL-MIDWEST CONFERENCE,MIDWEST CONFERENCE,2nd Team,Outside Hitter,Volleyball
2023,Emily Brewer,ALL-MIDWEST CONFERENCE,MIDWEST CONFERENCE,1st Team,Setter,Volleyball
2023,Jenna Keller,ALL-MIDWEST CONFERENCE,MIDWEST CONFERENCE,1st Team,Outside Hitter,Volleyball
2023,Sophie Weber,ALL-MIDWEST CONFERENCE,MIDWEST CONFERENCE,1st Team,Libero,Volleyball
2022,Payton Lowrey,ALL-MIDWEST CONFERENCE,MIDWEST CONFERENCE,1st Team,Libero,Volleyball
2022,Hayley Taka,ALL-MIDWEST CONFERENCE,MIDWEST CONFERENCE,1st Team,Outside Hitter,Volleyball
2022,Emily Brewer,ALL-MIDWEST CONFERENCE,MIDWEST CONFERENCE,2nd Team,Setter,Volleyball
2022,Malaina Miles,ALL-MIDWEST CONFERENCE,MIDWEST CONFERENCE,2nd Team,Middle Blocker,Volleyball
2021,Kaylin Kuhn,ALL-MIDWEST CONFERENCE,MIDWEST CONFERENCE,1st Team,Outside Hitter,Volleyball
2021,Olivia Jensen,ALL-MIDWEST CONFERENCE,MIDWEST CONFERENCE,1st Team,Middle Blocker,Volleyball
2021,Emily Brewer,ALL-MIDWEST CONFERENCE,MIDWEST CONFERENCE,2nd Team,Setter,Volleyball
2021,Jenna Keller,ALL-MIDWEST CONFERENCE,MIDWEST CONFERENCE,2nd Team,Outside Hitter,Volleyball
2021,Julianna Roth,ALL-MIDWEST CONFERENCE,MIDWEST CONFERENCE,2nd Team,Setter,Volleyball
2019,Kaylin Kuhn,ALL-MIDWEST CONFERENCE,MIDWEST CONFERENCE,1st Team,Outside Hitter,Volleyball
2019,Julianna Roth,ALL-MIDWEST CONFERENCE,MIDWEST CONFERENCE,2nd Team,Setter,Volleyball
2018,Kaylin Kuhn,ALL-MIDWEST CONFERENCE,MIDWEST CONFERENCE,1st Team,Outside Hitter,Volleyball
2018,Julianna Roth,ALL-MIDWEST CONFERENCE,MIDWEST CONFERENCE,2nd Team,Setter,Volleyball
2017,Kaylin Kuhn,ALL-MIDWEST CONFERENCE,MIDWEST CONFERENCE,2nd Team,Outside Hitter,Volleyball
2016,Olivia Fromm,ALL-MIDWEST CONFERENCE,MIDWEST CONFERENCE,1st Team,Outside Hitter,Volleyball
2016,Margaret Giles,ALL-MIDWEST CONFERENCE,MIDWEST CONFERENCE,2nd Team,Setter,Volleyball
2013,Claire Weidman,ALL-MIDWEST CONFERENCE,MIDWEST CONFERENCE,2nd Team,Outside Hitter,Volleyball
2012,Cheyenne Hickox,ALL-MIDWEST CONFERENCE,MIDWEST CONFERENCE,2nd Team,Outside Hitter,Volleyball
2011,Michelle Briggs,ALL-MIDWEST CONFERENCE,MIDWEST CONFERENCE,2nd Team,Middle Hitter,Volleyball
2011,Olivia Wilks,ALL-MIDWEST CONFERENCE,MIDWEST CONFERENCE,2nd Team,Setter,Volleyball
2010,Claire Reeder,ALL-MIDWEST CONFERENCE,MIDWEST CONFERENCE,1st Team,Middle Hitter,Volleyball
2009,Claire Reeder,ALL-MIDWEST CONFERENCE,MIDWEST CONFERENCE,1st Team,Middle Blocker,Volleyball
2009,Olivia Wilks,ALL-MIDWEST CONFERENCE,MIDWEST CONFERENCE,2nd Team,Setter,Volleyball
2008,Claire Reeder,ALL-MIDWEST CONFERENCE,MIDWEST CONFERENCE,1st Team,Middle Hitter,Volleyball
2007,Claire Reeder,ALL-MIDWEST CONFERENCE,MIDWEST CONFERENCE,2nd Team,Middle Hitter,Volleyball
2006,Tamrah Collins,ALL-MIDWEST CONFERENCE,MIDWEST CONFERENCE,2nd Team,Middle Hitter,Volleyball
2005,Tamrah Collins,ALL-MIDWEST CONFERENCE,MIDWEST CONFERENCE,1st Team,Middle Hitter,Volleyball
2003,Cathy Stella,ALL-MIDWEST CONFERENCE,MIDWEST CONFERENCE,2nd Team,,Volleyball
2021,Eric Ragan,COACH OF THE YEAR,MIDWEST CONFERENCE,,,Volleyball
2018,Eric Ragan,COACH OF THE YEAR,MIDWEST CONFERENCE,,,Volleyball
2009,Jackie Hutchison,COACH OF THE YEAR,MIDWEST CONFERENCE,,,Volleyball
2023,Kylie Snell,ELITE 20 WINNER,MIDWEST CONFERENCE,,,Volleyball
